Country Name;Country Code;Year;Value
Arab World;ARB;2016;406452690
Caribbean small states;CSS;2016;7245472
Central Europe and the Baltics;CEB;2016;102974082
Early-demographic dividend;EAR;2016;3170542188
East Asia & Pacific;EAS;2016;2296786207
East Asia & Pacific (excluding high income);EAP;2016;2051431154
East Asia & Pacific (IDA & IBRD countries);TEA;2016;2026028438
Euro area;EMU;2016;340894606
Europe & Central Asia;ECS;2016;911995305
Europe & Central Asia (excluding high income);ECA;2016;417424643
Europe & Central Asia (IDA & IBRD countries);TEC;2016;455372659
European Union;EUU;2016;511497415
Fragile and conflict affected situations;FCS;2016;505635987
Heavily indebted poor countries (HIPC);HPC;2016;744602976
High income;HIC;2016;1190029421
IBRD only;IBD;2016;4697247117
IDA & IBRD total;IBT;2016;6271593092
IDA blend;IDB;2016;521159393
IDA only;IDX;2016;1053186582
IDA total;IDA;2016;1574345975
Late-demographic dividend;LTE;2016;2262709895
Latin America & Caribbean;LCN;2016;637664490
Latin America & Caribbean (excluding high income);LAC;2016;610136397
Latin America & the Caribbean (IDA & IBRD countries);TLA;2016;621534921
Least developed countries: UN classification;LDC;2016;979387925
Low & middle income;LMY;2016;6252106157
Low income;LIC;2016;659272676
Lower middle income;LMC;2016;3012923806
Middle East & North Africa;MEA;2016;436720722
Middle East & North Africa (excluding high income);MNA;2016;373719055
Middle East & North Africa (IDA & IBRD countries);TMN;2016;369167489
Middle income;MIC;2016;5592833481
North America;NAC;2016;359479269
OECD members;OED;2016;1289937319
Other small states;OSS;2016;29983809
Pacific island small states;PSS;2016;2388875
Post-demographic dividend;PST;2016;1102730983
Pre-demographic dividend;PRE;2016;879292453
Small states;SST;2016;39618156
South Asia;SAS;2016;1766383450
South Asia (IDA & IBRD);TSA;2016;1766383450
Sub-Saharan Africa;SSF;2016;1033106135
Sub-Saharan Africa (excluding high income);SSA;2016;1033011458
Sub-Saharan Africa (IDA & IBRD countries);TSS;2016;1033106135
Upper middle income;UMC;2016;2579909675
World;WLD;2016;7442135578
Afghanistan;AFG;2016;34656032
Albania;ALB;2016;2876101
Algeria;DZA;2016;40606052
American Samoa;ASM;2016;55599
Andorra;AND;2016;77281
Angola;AGO;2016;28813463
Antigua and Barbuda;ATG;2016;100963
Argentina;ARG;2016;43847430
Armenia;ARM;2016;2924816
Aruba;ABW;2016;104822
Australia;AUS;2016;24127159
Austria;AUT;2016;8747358
Azerbaijan;AZE;2016;9762274
Bahamas, The;BHS;2016;391232
Bahrain;BHR;2016;1425171
Bangladesh;BGD;2016;162951560
Barbados;BRB;2016;284996
Belarus;BLR;2016;9507120
Belgium;BEL;2016;11348159
Belize;BLZ;2016;366954
Benin;BEN;2016;10872298
Bermuda;BMU;2016;65331
Bhutan;BTN;2016;797765
Bolivia;BOL;2016;10887882
Bosnia and Herzegovina;BIH;2016;3516816
Botswana;BWA;2016;2250260
Brazil;BRA;2016;207652865
British Virgin Islands;VGB;2016;30661
Brunei Darussalam;BRN;2016;423196
Bulgaria;BGR;2016;7127822
Burkina Faso;BFA;2016;18646433
Burundi;BDI;2016;10524117
Cabo Verde;CPV;2016;539560
Cambodia;KHM;2016;15762370
Cameroon;CMR;2016;23439189
Canada;CAN;2016;36286425
Cayman Islands;CYM;2016;60765
Central African Republic;CAF;2016;4594621
Chad;TCD;2016;14452543
Channel Islands;CHI;2016;164541
Chile;CHL;2016;17909754
China;CHN;2016;1378665000
Colombia;COL;2016;48653419
Comoros;COM;2016;795601
Congo, Dem. Rep.;COD;2016;78736153
Congo, Rep.;COG;2016;5125821
Costa Rica;CRI;2016;4857274
Cote d'Ivoire;CIV;2016;23695919
Croatia;HRV;2016;4170600
Cuba;CUB;2016;11475982
Curacao;CUW;2016;159999
Cyprus;CYP;2016;1170125
Czech Republic;CZE;2016;10561633
Denmark;DNK;2016;5731118
Djibouti;DJI;2016;942333
Dominica;DMA;2016;73543
Dominican Republic;DOM;2016;10648791
Ecuador;ECU;2016;16385068
Egypt, Arab Rep.;EGY;2016;95688681
El Salvador;SLV;2016;6344722
Equatorial Guinea;GNQ;2016;1221490
Estonia;EST;2016;1316481
Ethiopia;ETH;2016;102403196
Faroe Islands;FRO;2016;49117
Fiji;FJI;2016;898760
Finland;FIN;2016;5495096
France;FRA;2016;66896109
French Polynesia;PYF;2016;280208
Gabon;GAB;2016;1979786
Gambia, The;GMB;2016;2038501
Georgia;GEO;2016;3719300
Germany;DEU;2016;82667685
Ghana;GHA;2016;28206728
Gibraltar;GIB;2016;34408
Greece;GRC;2016;10746740
Greenland;GRL;2016;56186
Grenada;GRD;2016;107317
Guam;GUM;2016;162896
Guatemala;GTM;2016;16582469
Guinea;GIN;2016;12395924
Guinea-Bissau;GNB;2016;1815698
Guyana;GUY;2016;773303
Haiti;HTI;2016;10847334
Honduras;HND;2016;9112867
Hong Kong SAR, China;HKG;2016;7346700
Hungary;HUN;2016;9817958
Iceland;ISL;2016;334252
India;IND;2016;1324171354
Indonesia;IDN;2016;261115456
Iran, Islamic Rep.;IRN;2016;80277428
Iraq;IRQ;2016;37202572
Ireland;IRL;2016;4773095
Isle of Man;IMN;2016;83737
Israel;ISR;2016;8547100
Italy;ITA;2016;60600590
Jamaica;JAM;2016;2881355
Japan;JPN;2016;126994511
Jordan;JOR;2016;9455802
Kazakhstan;KAZ;2016;17797032
Kenya;KEN;2016;48461567
Kiribati;KIR;2016;114395
Korea, Dem. People’s Rep.;PRK;2016;25368620
Korea, Rep.;KOR;2016;51245707
Kosovo;XKX;2016;1816200
Kuwait;KWT;2016;4052584
Kyrgyz Republic;KGZ;2016;6082700
Lao PDR;LAO;2016;6758353
Latvia;LVA;2016;1960424
Lebanon;LBN;2016;6006668
Lesotho;LSO;2016;2203821
Liberia;LBR;2016;4613823
Libya;LBY;2016;6293253
Liechtenstein;LIE;2016;37666
Lithuania;LTU;2016;2872298
Luxembourg;LUX;2016;582972
Macao SAR, China;MAC;2016;612167
Macedonia, FYR;MKD;2016;2081206
Madagascar;MDG;2016;24894551
Malawi;MWI;2016;18091575
Malaysia;MYS;2016;31187265
Maldives;MDV;2016;417492
Mali;MLI;2016;17994837
Malta;MLT;2016;436947
Marshall Islands;MHL;2016;53066
Mauritania;MRT;2016;4301018
Mauritius;MUS;2016;1263473
Mexico;MEX;2016;127540423
Micronesia, Fed. Sts.;FSM;2016;104937
Moldova;MDA;2016;3552000
Monaco;MCO;2016;38499
Mongolia;MNG;2016;3027398
Montenegro;MNE;2016;622781
Morocco;MAR;2016;35276786
Mozambique;MOZ;2016;28829476
Myanmar;MMR;2016;52885223
Namibia;NAM;2016;2479713
Nauru;NRU;2016;13049
Nepal;NPL;2016;28982771
Netherlands;NLD;2016;17018408
New Caledonia;NCL;2016;278000
New Zealand;NZL;2016;4692700
Nicaragua;NIC;2016;6149928
Niger;NER;2016;20672987
